precio,estacionamientos,recamaras,baños,habitaciones,agnio.construccion,construccion,terreno,calle.domicilio,colonia.fraccionamiento,ciudad,descripcion,,,,,,,,,,,,,,
1780000.00,2,3,2,5,2020,169,126,Privada San Fernanda,San Fernando- Durango,Durango,Ubicadas en la salida Mazatlán- éstas casas de tres habitaciones- están dentro del residencial privado San Fernanda- mismo que cuenta con caseta de vigilancia-...,,,,,,,,,,,,,,
650000.00,1,3,1,4,,90,90,Prolongación José María Pino Suárez,Centro,Durango,Casa un piso 3 recamaras 2 baños boiler solar y de paso cochera patio cisterna todos los servicios ambiente familiar....todo cerca- mucho transporte.- buenos servicios.,,,,,,,,,,,,,,
590000.00,2,2,2,4,,63,90,Centro,Centro,Durango,Casa un piso bonita 3 recamaras 2 baños ambiente familiar boiler solar y de paso cochera todos los servicios,,,,,,,,,,,,,,
1300000.00,2,3,2,5,,130,120,Centro,Centro,Durango,Casa en venta nueva áreas verdes casa en dos plantas diseño moderno acabados de primera- cuenta con 3 recamaras con closets- cocina equipada acero inoxidable-2 baños y medio- terraza- patio amplio jardín área de servicio hidro gas estacionario cisterna cristales tintex de primera cochera dos autos bonita zona ambiente familiar aplican todos los creditos,,,,,,,,,,,,,,
1000000.00,2,2,1,3,,110,160,Centro,Centro,Durango,Bonita casa en dos pisos diseño moderno 3 recamras 2 baños y medio cochera todos los servicios ambiente familiar se aceptan todos los creditos,,,,,,,,,,,,,,
465000.00,2,3,1,4,,53,89,Centro,Centro,Durango,Bonita casa con 2 recamras un baño boiler solar patio jardin cochera diseño moderno,,,,,,,,,,,,,,
780000.00,2,1,1,2,2020,84,90,Fraccionamiento Acereros,Fraccionamiento Acereros,Durango,Localizada a escasos metros del área de recreación- pista Skateboarding- localizada a pocos metro de la avenida principal de acceso al Fraccionamiento- una casa de un sola planta de reciente construcción- acabados de muy buena calidad- y espacios adecuados para tu inversión- distribuida en una sola planta- con cochera techada para un auto- área de sala comedor y cocina conectadas- además de dos habitaciones con espacio para closet y un bañó completo- lista para tu familia!!!,,,,,,,,,,,,,,
464520.00,0,2,1,3,2020,47,98,Privada Tolosa Carlos Luna,Fraccionamiento Barcelona,Durango,Hermosas casas unifamiliares con ecotecnologías- cuentan con dos o tres recamaras a escoger- con áreas verdes para su esparcimiento y diversión- ideales para vivir en familia- listas para adquirirse con crédito Infonavit- Fovissste o Bancario- cuenta con todos los servicios y cerca de escuelas y centros comerciales,,,,,,,,,,,,,,
660000.00,0,3,1,4,2020,73,112,Girasol,Benito Juárez,Durango,Fraccionamiento COLIBRI Casas unifamiliar con ecotecnologías- cuentan tres recámaras- con áreas verdes para su esparcimiento y diversión- ideales para vivir en familia- listas para adquirirse con crédito Infonavit- Fovissste o Bancario- cuenta con todos los servicios y cerca de escuelas y centros comerciales...,,,,,,,,,,,,,,
580000.00,,3,1,4,2020,65,103,Girasol,Benito Juárez,Durango,Fracc Colibri II Casa unifamiliar con ecotecnologías- cuentan tres recámaras- con áreas verdes para su esparcimiento y diversión- ideales para vivir en familia- listas para adquirirse con crédito Infonavit- Fovissste o Bancario- cuenta con todos los servicios y cerca de escuelas y centros comerciales...,,,,,,,,,,,,,,
1550000.00,2,3,2,5,2020,155,126,Residencial,Buenos Aires,Durango,"Vive a un costado del parque Sahuatoba- frente a un hermoso sendero de pinos- dentro de un residencial privado con caseta de vigilancia- pavimento hidráulico- servicios subterráneos. A sólo 5 minutos de las mejores escuelas publicas y privadas- super mercados - clubs deportivos- museos y plazas comerciales.
 Casas nuevas de dos plantas.
 Planta baja: cochera para dos autos- medio baño sala comedor con ventanal y pared de piedra- cocina integral con barra- cuarto de servicio y jardín.
 Planta alta: escalera con barandal de vidrio templado- tres recamaras con closet y ventana- la principal con vestidor y baño completo- estancia y un segundo baño completo.
 Las casas cuentan con cisterna y boiler. EasyBroker ID: EB-FX8745",,,,,,,,,,,,,,
640000.00,0,2,1,3,,,90,,,,,,,,,,,,,,,,,,
2350000.00,2,3,2.5,5.5,,194.56,203,,,,,,,,,,,,,,,,,,
480000.00,0,2,1,3,,53,90,Centro,Centro,Durango,Casa en venta 2 recamaras un baño patio amplio cocina amplia con tarja ecotecnologias jardin cisterna ambiente familiar todo cerca buenos servicios areas verdes con juegos para los niños seguridad,,,,,,,,,,,,,,
2330000.00,2,3,2,5,,230,172,Del Lago,Real del Lago,Durango,Se vende casa ubicada frente a área verde y chapoteadero. 3 recámaras ( la principal con clóset y baño)- cocina gris en granito- comedor para 8 personas- patio de servicio techado- piso de porcelanato- barandal de acero inoxidable- jardinería en acceso principal con iluminación- cochera techada para 2 autos y espacio para motos.,,,,,,,,,,,,,,
1000000.00,2,3,2,5,,110,120,Centro,Centro,Durango,Casa en venta nueva con 2 baños y medio cisterna- gas estacionario- boiler solar y de paso todos los servicios ambiente familiar céntrica-aplican todos los créditos.-diseño moderno .,,,,,,,,,,,,,,
1330000.00,0,4,2,6,,170,90,Haciendas del Pedregal,Haciendas del Pedregal,Durango,Una muy funcional casa en venta en una zona con escuelas- Supermercados- avenidas con fácil acceso que bien puede conectarse con Blvd Francisco Villa- Francisco Zarco o Fidel Velázquez. En Planta Baja cuenta con cochera cubierta para dos autos- sala con mueble de centro de entretenimiento- comedor- área de servicio- cocina integral completa (no incluye refrigerador) y patio de servicio- En Planta Alta un espacio para estudio- 4 recámaras y un baño completo- en la azotea se complementa con una pequeña bodega para guardar cosas de temporada,,,,,,,,,,,,,,
1250000.00,0,3,2,5,,137,90,SN,SN,Durango,Vivienda ubicada a solo una cuadra de la Av. Cima-cuenta con dos plantas- tres recamaras y dos y medio baños- a solo unos pasos de tiendas de conveniencia y parques de food trucks.,,,,,,,,,,,,,,
715000.00,0,2,1,3,,93,128,Santa Cecilia,Real Victoria II,Durango,Casa habitación- construida en un solo nivel- cuenta con con sala- comedor- cocina- dos recamaras una de ellas con vestidor- baño completo- patio de servicio- cochera para un vehículo y en la planta alta una habitación. Cuenta con calentador solar- muy cercana a escuelas como jardín de niños- primaria secundaria- ademas de la proximidad que tiene con centros comerciales y centro de salud y un acceso a las avenidas rápidas.,,,,,,,,,,,,,,
2097000.00,0,3,2,5,2019,180,186,Patzcuaro Lomas del Sahuatoba- Durango,Fraccionamiento Real del lago,Durango,,,,,,,,,,,,,,,
2200000.00,2,3,3,6,2020,203,160,15 de Mayo (Tapias)- Durango,,Durango,Ubicado en la zona con el aire más limpio de la ciudad- éste nuevo complejo privado cuenta con barda perimetral- caseta de vigilancia- servicios subterráneos- amplias áreas verdes- área de juegos infantiles y circuito para caminar.,,,,,,,,,,,,,,
960000.00,1,3,2,5,2020,162,90,Mina Santa Cruz Acereros- Durango,Fraccionamiento Acereros,Durango,A 5 minutos de Walmart Felipe Pescador y Sams Club- muy cerca a salida a Parral- Casa de 2 plantas con recamara en planta baja,,,,,,,,,,,,,,
660000.00,,3,1,4,2020,73,112,girasol Benito Juárez- Durango,Fraccionamiento Colibri,Durango,Fraccionamiento COLIBRI Casas unifamiliar con ecotecnologías- cuentan tres recámaras- con áreas verdes para su esparcimiento y diversión- ideales para vivir en familia- listas para adquirirse con crédito Infonavit- Fovissste o Bancario- cuenta con todos los servicios y cerca de escuelas y centros comerciales,,,,,,,,,,,,,,
830000.00,0,3,1,4,2003,103,123,Salina Cruz Miramar- Durango,,Durango,,,,,,,,,,,,,,,
1750000.00,1,3,2,5,2020,154,130,Doña Berta Residencial Santa Teresa- Durango,,Durango,Ubicada en una privada dentro del Fraccionamiento Residencial San Fernanda ofrecemos a la venta esta moderna casa en venta construida en dos niveles- planta baja sala- comedor- cocina - cuarto de lavado independiente- patio y medio baño.,,,,,,,,,,,,,,
580000.00,0,3,1,4,2020,65,103,mina de gavilanes Acereros- Durango,Fraccionamiento Acereros,Durango,localizada a escasos metros del área de recreación- pista Skateboarding- localizada a pocos metro de la avenida principal de acceso al Fraccionamiento- una casa de un sola planta de reciente construcción- acabados de muy buena calidad- y espacios adecuados para tu inversión- distribuida en una sola planta- con cochera techada para un auto- área de sala comedor y cocina conectadas- además de dos habitaciones con espacio para closet y un bañó completo- lista para tu familia!!!,,,,,,,,,,,,,,
630000.00,0,4,1,5,2020,73,112,Dali Real Victoria II- Durango,Fraccionamiento Real Victoria II,Durango,,,,,,,,,,,,,,,
850000,0,3,1,4,2000,117,200,Bulevar Durango Diana Laura R de Colosio,Colonia Diana Laura Riojas,Durango,Casa en Esquina una sola planta distribuida de la siguiente manera tres recamaras- un baño completo- sala- cocina que incluye cocina integral con barra - cuenta con un patio en la parte posterior muy amplio con la posibilidad de hacer alguna adecuación o ampliación a la vivienda- se encuentra sobre una de la Avenidas totalmente comerciales de la zona- muy cerca a vías de rápido acceso -cerca de Escuelas y de Tiendas de Autoservicio.,,,,,,,,,,,,,,
920000.00,,2,2,4,1995,132,160,General Felix Duron Domingo Arrieta,Fraccionamiento Domingo Arrieta,Durango,Casa ubicada en Fraccionamiento Domingo Arrieta construida en una sola planta- tres recamaras- dos patios cochera con portón eléctrico-calle pavimentada-aplica tu crédito en esta propiedad..,,,,,,,,,,,,,,
950000.00,1,1,1,2,2020,144,144,Del Bosque,Blvd Guadiana,Durango,Se vende casa como terreno con doble entrada por blvd guadiana y privada.,,,,,,,,,,,,,,
4950000.00,1,5,3,7,,606,450,Centro,Centro,Durango,Casa Antigua Colonial en Venta en CENTRO HISTÒRICO de Durango se encuentra en una de las calles más antiguas y más importantes del centro de la ciudad de Durango- Patrimonio de la Humanidad- esta mansión histórica con su hermosa e impecable fachada para diferentes usos (Oficinas- Restaurante- Casa Habitación- Museo) ubicado en Zona Centro- tiene Terreno de 606 m2 y 450 m2 de Construcción en 1 plantas- consta de Pasillo de Acceso- Patio Principal con Domo al centro- 3 recamaras- 2 Baños - sala- zaguán y patio trasero- Construcción de Adobe y Ladrillo- Almacén- Espacio comunicado con zaguán - consta de Área con comedor y cocina - se pueden observar pisos de la época- con muros recubrimientos de enjarres con acabado fino y pintura vinílica- la Carpintería en puertas con madera fina con tinte y barniz con trabajo artístico- techos de viguetas y vigas de madera tratadas con tableta y mezcla en azoteas- marcos- pretiles y cornisas de cantera en fachada- la Herrería la tradicional de la época- Arcos en corredores con cantera de la región. NOTA: ES UN INMUEBLE CON VALOR HISTÓRICO,,,,,,,,,,,,,,
2100000.00,0,4,2,6,2010,151,151,Zarco,Centro,Durango,Se Vende Casa Céntrica Con vocación Comercial Remodelada en la calle Zarco- Zona Centro de Durango- Dgo- Mex.- Ideal Para Escuelas- Oficinas- Remodelada,,,,,,,,,,,,,,
750000.00,3,2,1,4,2019,100,150,,Col. El Paraíso Durango,Durango,"Casa en Venta en Col. El Paraíso Durango
1 nivel- 2 recámaras- 1 baño completo- cocina- sala comedor- patio- 3 cocheras. 150 m2 de superficie- 100 m2 de construcción.",,,,,,,,,,,,,,
